nomination_rank,tier,gene_name,direction_verdict,direction_basis,ot_genetic_max,ot_genetic_n_diseases,loeuf,prec,lof_tolerant,modality,sm_pocket,clinical_precedent,viability_tier,housekeeping,window_rank,efficacy,n_module_down,il2_hit,liabilities
15,"C: direction unknown, genetically supported",COG6,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.6546775918977833,5.0,1.058,0.90875,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,1884,0.136128017242577,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
16,"C: direction unknown, genetically supported",TNPO1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.4844792008072639,2.0,0.152,9.6444e-13,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,394,0.3721476839584098,4,False,LoF-intolerant; perturbs the resting arm
17,"C: direction unknown, genetically supported",TPST2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.3888460867206413,1.0,0.958,0.96068,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,4382,0.5367499964652611,4,False,LoF-intolerant; depleting-at-rest
18,"C: direction unknown, genetically supported",ARPC2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.3797538774146153,1.0,0.319,0.0001653,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,2553,0.5523052994695908,6,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
19,"C: direction unknown, genetically supported",SMAD4,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.3748776680850805,1.0,0.227,8.4418e-08,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,198,0.6021149997041504,3,False,LoF-intolerant; perturbs the resting arm
20,"C: direction unknown, genetically supported",SEL1L,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.3458807395917997,1.0,0.542,0.86093,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,642,0.9314896336307849,5,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
21,"C: direction unknown, genetically supported",SIK3,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.3409022846487999,3.0,0.269,1.7797e-16,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,23,0.9539645577491996,15,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
22,"C: direction unknown, genetically supported",ICAM2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.282843653978389,4.0,1.167,0.86143,True,knockout- or degrader-tolerable,False,False,depleting-at-rest,False,44,0.7050323070551248,4,False,perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
23,"C: direction unknown, genetically supported",SGF29,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.2487387988438416,4.0,0.582,0.32938,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,1267,0.6348662173644377,16,False,LoF-intolerant; perturbs the resting arm
24,"C: direction unknown, genetically supported",BRD1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.2399149086037292,1.0,0.338,2.5978e-09,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,254,0.739977236245412,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
25,"C: direction unknown, genetically supported",BRPF1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.1898452316899406,1.0,0.206,8.9841e-17,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,238,0.5505553008264444,5,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
26,"C: direction unknown, genetically supported",STAT5A,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.1220142227114484,2.0,0.365,5.0856e-08,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,4058,0.3460539400077921,3,False,LoF-intolerant; no pocket and no clinical precedent
27,"C: direction unknown, genetically supported",LIG3,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.1151693162437684,1.0,0.627,1.0,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,1813,0.3765774568032503,6,False,LoF-intolerant
28,"D: direction unknown, no autoimmune genetics",STIP1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0621549165637489,0.0,0.306,3.8713e-09,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,3412,0.2276306832352056,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
29,"D: direction unknown, no autoimmune genetics",RICTOR,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.038249902710691,0.0,0.305,7.9583e-09,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,49,0.6044534570983559,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
30,"D: direction unknown, no autoimmune genetics",TIMM8B,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0347966296305316,0.0,1.551,0.80119,True,knockout- or degrader-tolerable,False,False,depleting-at-rest,False,1517,0.6086517400051524,6,False,perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
31,"D: direction unknown, no autoimmune genetics",ATP5F1A,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0334626144332919,0.0,0.577,0.71943,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,True,690,0.3912840775006189,5,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent; housekeeping or respiratory-chain gene
32,"D: direction unknown, no autoimmune genetics",SLC16A1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0324980929474421,0.0,0.591,0.26988,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,2964,0.6769896906099881,4,False,LoF-intolerant; no pocket and no clinical precedent
33,"D: direction unknown, no autoimmune genetics",PGAP2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0320474576429373,0.0,0.872,0.98524,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,1247,0.6838018587332377,5,False,LoF-intolerant; depleting-at-rest; no pocket and no clinical precedent
34,"D: direction unknown, no autoimmune genetics",KMT2E,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0316148286248819,0.0,0.217,2.0402000000000002e-19,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,281,0.3864480798741095,3,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
35,"D: direction unknown, no autoimmune genetics",PGS1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.031132663057395,0.0,0.999,0.93862,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,35,0.650345091759825,5,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
36,"D: direction unknown, no autoimmune genetics",MLST8,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.68,0.97887,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,True,non-depleting,False,764,0.2776423059204149,5,False,LoF-intolerant; perturbs the resting arm
37,"D: direction unknown, no autoimmune genetics",PRKAR1A,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.158,1.8995e-09,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,True,1,1.565971929770568,6,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent; housekeeping or respiratory-chain gene
38,"D: direction unknown, no autoimmune genetics",ENO1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.927,0.97823,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,True,5,0.9983435407188092,8,False,LoF-intolerant; depleting-at-rest; housekeeping or respiratory-chain gene
39,"D: direction unknown, no autoimmune genetics",UBR4,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.242,1.2814e-62,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,True,18,1.2487007448721803,15,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent; housekeeping or respiratory-chain gene
40,"D: direction unknown, no autoimmune genetics",RHOF,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.527,0.33916,True,knockout- or degrader-tolerable,False,False,non-depleting,False,29,0.6989401313656717,3,False,perturbs the resting arm; no pocket and no clinical precedent
41,"D: direction unknown, no autoimmune genetics",CCNT1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.311,3.086e-06,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,True,47,0.9474975450697884,6,False,LoF-intolerant; depleting-at-rest; housekeeping or respiratory-chain gene
42,"D: direction unknown, no autoimmune genetics",MMAB,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.875,0.98057,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,55,0.7246089920608478,5,False,LoF-intolerant; perturbs the resting arm
43,"D: direction unknown, no autoimmune genetics",CRLS1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.913,0.44308,True,knockout- or degrader-tolerable,False,False,non-depleting,False,61,0.5694495401374042,5,False,perturbs the resting arm; no pocket and no clinical precedent
44,"D: direction unknown, no autoimmune genetics",ATP5PO,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.871,0.96966,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,True,63,0.7605955566070555,10,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent; housekeeping or respiratory-chain gene
45,"D: direction unknown, no autoimmune genetics",TOMM70,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.298,2.019e-07,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,True,64,0.5648748374368439,3,False,LoF-intolerant; depleting-at-rest; no pocket and no clinical precedent; housekeeping or respiratory-chain gene
46,"D: direction unknown, no autoimmune genetics",PGK1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,,,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,True,94,1.058137596033452,3,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; housekeeping or respiratory-chain gene
47,"D: direction unknown, no autoimmune genetics",POLG,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.847,0.99955,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,109,0.4999999690546755,9,False,LoF-intolerant
48,"D: direction unknown, no autoimmune genetics",ATXN7L3,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.228,1.6492e-08,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,123,0.562702870519914,6,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
49,"D: direction unknown, no autoimmune genetics",TMEM126B,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.826,0.26585,True,knockout- or degrader-tolerable,False,False,non-depleting,False,140,0.6241367655302043,8,False,no pocket and no clinical precedent
50,"D: direction unknown, no autoimmune genetics",SRR,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.865,0.98457,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,169,0.6010807749886397,4,False,LoF-intolerant; perturbs the resting arm
51,"D: direction unknown, no autoimmune genetics",TWNK,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.76,0.99923,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,173,0.809827783713128,7,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
52,"D: direction unknown, no autoimmune genetics",SMG1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.1,1.5885000000000002e-54,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,176,0.743450442521786,6,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
53,"D: direction unknown, no autoimmune genetics",GAS2L1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,,,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,185,0.4355057010786759,3,False,LoF-intolerant; no pocket and no clinical precedent
54,"D: direction unknown, no autoimmune genetics",ACAD9,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.885,0.99327,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,193,0.4274250236416114,3,False,LoF-intolerant; no pocket and no clinical precedent
55,"D: direction unknown, no autoimmune genetics",GAB2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.559,0.32783,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,206,0.5885894541055947,3,False,LoF-intolerant; no pocket and no clinical precedent
56,"D: direction unknown, no autoimmune genetics",EHMT2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,,,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,269,0.3939713301125297,8,False,LoF-intolerant; perturbs the resting arm
57,"D: direction unknown, no autoimmune genetics",HEXIM1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.148,7.9888e-07,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,315,0.3727993215352405,6,False,LoF-intolerant
58,"D: direction unknown, no autoimmune genetics",EIF4E2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.727,0.91512,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,324,0.36847094002754,3,False,LoF-intolerant
59,"D: direction unknown, no autoimmune genetics",COMMD4,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.983,0.95435,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,332,0.5013042441232849,3,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
60,"D: direction unknown, no autoimmune genetics",COQ3,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.046,0.92908,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,383,0.7310740551673585,3,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
61,"D: direction unknown, no autoimmune genetics",TMED9,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.055,0.91812,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,414,0.3442044356997292,3,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
62,"D: direction unknown, no autoimmune genetics",SLC25A28,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.576,0.14999,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,442,0.3373083763613352,3,False,LoF-intolerant; no pocket and no clinical precedent
63,"D: direction unknown, no autoimmune genetics",KMT5B,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.19,1.2093e-12,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,454,0.574022345939308,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
64,"D: direction unknown, no autoimmune genetics",CENPE,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.452,0.00045974,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,unknown,False,471,0.8909321898783461,3,False,LoF-intolerant; unknown
65,"D: direction unknown, no autoimmune genetics",ATP5MF,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.223,0.87376,True,knockout- or degrader-tolerable,False,False,depleting-at-rest,True,517,0.4577541006256009,3,False,perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent; housekeeping or respiratory-chain gene
66,"D: direction unknown, no autoimmune genetics",SEC14L2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.068,0.79223,True,knockout- or degrader-tolerable,True,False,non-depleting,False,721,0.5793035876101238,3,False,perturbs the resting arm
67,"D: direction unknown, no autoimmune genetics",MTCH2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.752,0.99228,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,807,0.3438626284430987,3,False,LoF-intolerant; no pocket and no clinical precedent
68,"D: direction unknown, no autoimmune genetics",CLCC1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.778,0.99767,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,922,0.2400525659203517,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
69,"D: direction unknown, no autoimmune genetics",AP2A1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.331,8.796e-09,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,1047,0.5241365441333984,3,False,LoF-intolerant; depleting-at-rest; no pocket and no clinical precedent
70,"D: direction unknown, no autoimmune genetics",PTBP1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.249,1.0438e-08,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,1074,0.7664560803737297,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
71,"D: direction unknown, no autoimmune genetics",DOP1B,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.831,0.99996,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,1147,0.2235272833128403,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
72,"D: direction unknown, no autoimmune genetics",MTG1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.086,0.87301,True,knockout- or degrader-tolerable,False,False,non-depleting,False,1269,0.3736647899305709,4,False,no pocket and no clinical precedent
73,"D: direction unknown, no autoimmune genetics",EIF4A1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.337,2.9223e-06,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,1310,0.2540898346671146,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
74,"D: direction unknown, no autoimmune genetics",GPI,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.862,0.99503,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,1318,0.3539725557949627,7,False,LoF-intolerant; perturbs the resting arm
75,"D: direction unknown, no autoimmune genetics",RIDA,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.444,0.81759,True,knockout- or degrader-tolerable,True,False,depleting-at-rest,False,1915,0.133234204732118,3,False,depleting-at-rest
76,"D: direction unknown, no autoimmune genetics",XBP1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,,,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,1957,0.478953433554298,5,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
77,"D: direction unknown, no autoimmune genetics",STK11,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.364,9.4e-05,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,1960,0.6392022615915662,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
78,"D: direction unknown, no autoimmune genetics",WARS2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,1.099,0.86315,True,knockout- or degrader-tolerable,False,False,non-depleting,False,1976,0.3770752897856053,3,False,no pocket and no clinical precedent
79,"D: direction unknown, no autoimmune genetics",TESK2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.865,0.9934,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,2211,0.5852000379389829,4,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
80,"D: direction unknown, no autoimmune genetics",TSC1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.227,1.5807e-17,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,2508,0.3986488484926823,7,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent
81,"D: direction unknown, no autoimmune genetics",SH3GL1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.619,0.88732,True,knockout- or degrader-tolerable,False,False,depleting-at-rest,False,3043,0.4178180645872339,3,False,perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
82,"D: direction unknown, no autoimmune genetics",PCBP2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.14,2.9355e-07,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,3049,0.1308939184096969,3,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest
83,"D: direction unknown, no autoimmune genetics",ATF4,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.718,0.61216,True,knockout- or degrader-tolerable,False,False,depleting-at-rest,False,3231,0.1467400500981407,3,False,perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent
84,"D: direction unknown, no autoimmune genetics",MIA2,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.874,0.99624,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,3420,0.3919710404289709,7,False,LoF-intolerant; no pocket and no clinical precedent
85,"D: direction unknown, no autoimmune genetics",ARIH1,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.0,,0.303,1.6659e-06,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,non-depleting,False,3453,0.1813281552490979,3,False,LoF-intolerant; perturbs the resting arm
