gene_name,tier,nomination_rank,ot_genetic_supported,ot_genetic_max,is_negative_regulator,is_iei,has_lof_drug,has_gof_drug,ot_action_types,direction_verdict,direction_basis
QRSL1,3,102,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TADA1,3,103,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
GDAP2,3,104,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
VBP1,3,105,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
EHMT2,3,106,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
KMT2E,3,107,False,0.0316148286248819,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
HEXIM1,3,108,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
WDR82,3,109,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
EIF4E2,3,110,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
COMMD4,3,111,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PSIP1,3,112,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TFAM,3,113,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RRAGC,3,114,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CTDSPL2,3,115,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ECSIT,3,116,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ZC3H10,3,117,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
DPH5,3,118,False,0.0698343703708299,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
COQ3,3,119,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
WDR59,3,120,False,0.0683346139464442,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
BTAF1,3,121,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TMED9,3,122,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SLC25A28,3,123,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MED15,3,124,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
KMT5B,3,125,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CENPE,3,126,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ATP5MF,3,127,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PDSS2,3,128,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
COMMD5,3,129,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CREBBP,3,130,False,0.0742722696150896,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
STRAP,3,131,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RC3H1,3,132,False,0.0,True,False,False,False,,DISCORDANT,canonical negative regulator of T-cell activation
PPP1R15B,3,133,False,0.0384679587036271,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ATP5F1A,3,134,False,0.0334626144332919,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CLPB,3,135,False,0.0,False,True,False,False,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction
SEC14L2,3,136,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MTHFD1L,3,137,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
FBXO32,3,138,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MCM8,3,139,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ZNF710,3,140,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MLST8,3,141,False,0.0,False,False,False,True,ACTIVATOR,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MTCH2,3,142,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PDCL,3,143,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
NDUFS8,3,144,False,0.0,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
CLCC1,3,145,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RBM33,3,146,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PPP3R1,3,147,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
AP2A1,3,148,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PTBP1,3,149,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
DOP1B,3,150,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
NDUFAF3,3,151,False,0.0,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
TIPARP,3,152,False,0.0330342207222303,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MOV10,3,153,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PGAP2,3,154,False,0.0320474576429373,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MTG1,3,155,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
HMGXB3,3,156,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
EIF4A1,3,157,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
GPI,3,158,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ZCCHC8,3,159,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TIMM8B,3,160,False,0.0347966296305316,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
LAMTOR4,3,161,False,0.0318021202905042,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
INTS14,3,162,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
YEATS2,3,163,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RIDA,3,164,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SARS2,3,165,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
XBP1,3,166,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
STK11,3,167,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
WARS2,3,168,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PTCD2,3,169,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ERCC1,3,170,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
UTP23,3,171,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TESK2,3,172,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CCNQ,3,173,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MTHFD2,3,174,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TSC1,3,175,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
DPH1,3,176,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PAICS,3,177,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
AMBRA1,3,178,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MTA2,3,179,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SLC16A1,3,180,False,0.0324980929474421,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SH3GL1,3,181,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PCBP2,3,182,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ELOB,3,183,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SMG9,3,184,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
LEO1,3,185,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ATF4,3,186,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
NXT1,3,187,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
NFRKB,3,188,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
STIP1,3,189,False,0.0621549165637489,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MIA2,3,190,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ARIH1,3,191,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SHLD1,3,192,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PARP2,3,193,False,0.0,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
ERCC4,3,194,False,0.0,False,True,False,False,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction
SIN3B,3,195,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ATAD5,3,196,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PARS2,3,197,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CSDE1,3,198,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
INTS10,3,199,False,0.0367746109060519,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CASK,3,200,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PNPT1,3,201,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
GRSF1,3,202,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PDPK1,3,203,False,0.0,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
TIMP1,3,204,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ILKAP,3,205,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
GNE,3,206,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TAF6L,3,207,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
DHX9,3,208,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PITRM1,3,209,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MBTPS1,3,210,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
LETM2,3,211,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ARHGAP30,3,212,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SKIC8,3,213,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PAXIP1,3,214,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
